"","quest","STATE","answer","n","region"
"34","Can you call coleslaw 'slaw'?","NY","no ",1782,"new york"
"35","Can you call coleslaw 'slaw'?","OH","yes ",837,"ohio"
"36","Can you call coleslaw 'slaw'?","OK","yes ",218,"oklahoma"
"37","Can you call coleslaw 'slaw'?","OR","no ",273,"oregon"
"38","Can you call coleslaw 'slaw'?","PA","no ",1375,"pennsylvania"
"39","Can you call coleslaw 'slaw'?","RI","no ",98,"rhode island"
"40","Can you call coleslaw 'slaw'?","SC","yes ",202,"south carolina"
"41","Can you call coleslaw 'slaw'?","SD","no ",150,"south dakota"
"42","Can you call coleslaw 'slaw'?","TN","yes ",441,"tennessee"
"43","Can you call coleslaw 'slaw'?","TX","yes ",1327,"texas"
"44","Can you call coleslaw 'slaw'?","UT","no ",169,"utah"
"45","Can you call coleslaw 'slaw'?","VA","yes ",632,"virginia"
"46","Can you call coleslaw 'slaw'?","VT","no ",76,"vermont"
"47","Can you call coleslaw 'slaw'?","WA","no ",906,"washington"
"48","Can you call coleslaw 'slaw'?","WI","no ",699,"wisconsin"
"49","Can you call coleslaw 'slaw'?","WV","yes ",135,"west virginia"
"50","Can you call coleslaw 'slaw'?","WY","no ",40,"wyoming"
"51","Do you cut or mow the lawn or grass?","AK","mow the lawn ",70,"alaska"
"52","Do you cut or mow the lawn or grass?","AL","cut the grass ",166,"alabama"
"53","Do you cut or mow the lawn or grass?","AR","mow the lawn ",115,"arkansas"
"54","Do you cut or mow the lawn or grass?","AZ","mow the lawn ",243,"arizona"
"55","Do you cut or mow the lawn or grass?","CA","mow the lawn ",2864,"california"
"56","Do you cut or mow the lawn or grass?","CO","mow the lawn ",410,"colorado"
"57","Do you cut or mow the lawn or grass?","CT","mow the lawn ",774,"connecticut"
"58","Do you cut or mow the lawn or grass?","DE","mow the lawn ",53,"delaware"
"59","Do you cut or mow the lawn or grass?","FL","mow the lawn ",720,"florida"
"60","Do you cut or mow the lawn or grass?","GA","mow the lawn ",301,"georgia"
"61","Do you cut or mow the lawn or grass?","HI","mow the lawn ",68,"hawaii"
"62","Do you cut or mow the lawn or grass?","IA","mow the lawn ",708,"iowa"
"63","Do you cut or mow the lawn or grass?","ID","mow the lawn ",185,"idaho"
"64","Do you cut or mow the lawn or grass?","IL","mow the lawn ",1484,"illinois"
"65","Do you cut or mow the lawn or grass?","IN","mow the lawn ",687,"indiana"
"66","Do you cut or mow the lawn or grass?","KS","mow the lawn ",847,"kansas"
"67","Do you cut or mow the lawn or grass?","KY","mow the lawn ",197,"kentucky"
"68","Do you cut or mow the lawn or grass?","LA","cut the grass ",234,"louisiana"
"69","Do you cut or mow the lawn or grass?","MA","mow the lawn ",1220,"massachusetts"
"70","Do you cut or mow the lawn or grass?","MD","mow the lawn ",458,"maryland"
"71","Do you cut or mow the lawn or grass?","ME","mow the lawn ",143,"maine"
"72","Do you cut or mow the lawn or grass?","MI","mow the lawn ",1188,"michigan"
"73","Do you cut or mow the lawn or grass?","MN","mow the lawn ",905,"minnesota"
"74","Do you cut or mow the lawn or grass?","MO","mow the lawn ",1008,"missouri"
"75","Do you cut or mow the lawn or grass?","MS","cut the grass ",95,"mississippi"
"76","Do you cut or mow the lawn or grass?","MT","mow the lawn ",297,"montana"
"77","Do you cut or mow the lawn or grass?","NC","mow the lawn ",330,"north carolina"
"78","Do you cut or mow the lawn or grass?","ND","mow the lawn ",153,"north dakota"
"79","Do you cut or mow the lawn or grass?","NE","mow the lawn ",236,"nebraska"
"80","Do you cut or mow the lawn or grass?","NH","mow the lawn ",188,"new hampshire"
"81","Do you cut or mow the lawn or grass?","NJ","mow the lawn ",1055,"new jersey"
"82","Do you cut or mow the lawn or grass?","NM","mow the lawn ",144,"new mexico"
"83","Do you cut or mow the lawn or grass?","NV","mow the lawn ",82,"nevada"
"84","Do you cut or mow the lawn or grass?","NY","mow the lawn ",2602,"new york"
"85","Do you cut or mow the lawn or grass?","OH","mow the lawn ",979,"ohio"
"86","Do you cut or mow the lawn or grass?","OK","mow the lawn ",266,"oklahoma"
"87","Do you cut or mow the lawn or grass?","OR","mow the lawn ",455,"oregon"
"88","Do you cut or mow the lawn or grass?","PA","mow the lawn ",1327,"pennsylvania"
"89","Do you cut or mow the lawn or grass?","RI","mow the lawn ",120,"rhode island"
"90","Do you cut or mow the lawn or grass?","SC","mow the lawn ",134,"south carolina"
"91","Do you cut or mow the lawn or grass?","SD","mow the lawn ",240,"south dakota"
"92","Do you cut or mow the lawn or grass?","TN","mow the lawn ",262,"tennessee"
"93","Do you cut or mow the lawn or grass?","TX","mow the lawn ",1575,"texas"
"94","Do you cut or mow the lawn or grass?","UT","mow the lawn ",249,"utah"
"95","Do you cut or mow the lawn or grass?","VA","mow the lawn ",620,"virginia"
"96","Do you cut or mow the lawn or grass?","VT","mow the lawn ",122,"vermont"
"97","Do you cut or mow the lawn or grass?","WA","mow the lawn ",1474,"washington"
"98","Do you cut or mow the lawn or grass?","WI","mow the lawn ",959,"wisconsin"
"99","Do you cut or mow the lawn or grass?","WV","mow the lawn ",85,"west virginia"
"100","Do you cut or mow the lawn or grass?","WY","mow the lawn ",66,"wyoming"
"101","Do you pass in homework or hand in homework?","AK","hand in ",64,"alaska"
"102","Do you pass in homework or hand in homework?","AL","hand in ",297,"alabama"
"103","Do you pass in homework or hand in homework?","AR","hand in ",146,"arkansas"
"104","Do you pass in homework or hand in homework?","AZ","hand in ",270,"arizona"
"105","Do you pass in homework or hand in homework?","CA","hand in ",2580,"california"
"106","Do you pass in homework or hand in homework?","CO","hand in ",419,"colorado"
"107","Do you pass in homework or hand in homework?","CT","hand in ",726,"connecticut"
"108","Do you pass in homework or hand in homework?","DE","hand in ",75,"delaware"
"109","Do you pass in homework or hand in homework?","FL","hand in ",872,"florida"
"110","Do you pass in homework or hand in homework?","GA","hand in ",484,"georgia"
"111","Do you pass in homework or hand in homework?","HI","hand in ",71,"hawaii"
"112","Do you pass in homework or hand in homework?","IA","hand in ",805,"iowa"
"113","Do you pass in homework or hand in homework?","ID","hand in ",175,"idaho"
"114","Do you pass in homework or hand in homework?","IL","hand in ",2087,"illinois"
"115","Do you pass in homework or hand in homework?","IN","hand in ",997,"indiana"
"116","Do you pass in homework or hand in homework?","KS","hand in ",1045,"kansas"
"117","Do you pass in homework or hand in homework?","KY","hand in ",379,"kentucky"
"118","Do you pass in homework or hand in homework?","LA","hand in ",379,"louisiana"
"119","Do you pass in homework or hand in homework?","MA","hand in ",843,"massachusetts"
"120","Do you pass in homework or hand in homework?","MD","hand in ",544,"maryland"
"121","Do you pass in homework or hand in homework?","ME","hand in ",72,"maine"
"122","Do you pass in homework or hand in homework?","MI","hand in ",1600,"michigan"
"123","Do you pass in homework or hand in homework?","MN","hand in ",1048,"minnesota"
"124","Do you pass in homework or hand in homework?","MO","hand in ",1447,"missouri"
"125","Do you pass in homework or hand in homework?","MS","hand in ",150,"mississippi"
"126","Do you pass in homework or hand in homework?","MT","hand in ",305,"montana"
"127","Do you pass in homework or hand in homework?","NC","hand in ",414,"north carolina"
"128","Do you pass in homework or hand in homework?","ND","hand in ",173,"north dakota"
"129","Do you pass in homework or hand in homework?","NE","hand in ",265,"nebraska"
"130","Do you pass in homework or hand in homework?","NH","hand in ",105,"new hampshire"
"131","Do you pass in homework or hand in homework?","NJ","hand in ",1266,"new jersey"
"132","Do you pass in homework or hand in homework?","NM","hand in ",153,"new mexico"
"133","Do you pass in homework or hand in homework?","NV","hand in ",79,"nevada"
"134","Do you pass in homework or hand in homework?","NY","hand in ",2920,"new york"
"135","Do you pass in homework or hand in homework?","OH","hand in ",1376,"ohio"
"136","Do you pass in homework or hand in homework?","OK","hand in ",294,"oklahoma"
"137","Do you pass in homework or hand in homework?","OR","hand in ",421,"oregon"
"138","Do you pass in homework or hand in homework?","PA","hand in ",2037,"pennsylvania"
"139","Do you pass in homework or hand in homework?","RI","hand in ",123,"rhode island"
"140","Do you pass in homework or hand in homework?","SC","hand in ",198,"south carolina"
"141","Do you pass in homework or hand in homework?","SD","hand in ",257,"south dakota"
"142","Do you pass in homework or hand in homework?","TN","hand in ",447,"tennessee"
"143","Do you pass in homework or hand in homework?","TX","hand in ",1755,"texas"
"144","Do you pass in homework or hand in homework?","UT","hand in ",238,"utah"
"145","Do you pass in homework or hand in homework?","VA","hand in ",848,"virginia"
"146","Do you pass in homework or hand in homework?","VT","hand in ",86,"vermont"
"147","Do you pass in homework or hand in homework?","WA","hand in ",1321,"washington"
"148","Do you pass in homework or hand in homework?","WI","hand in ",1207,"wisconsin"
"149","Do you pass in homework or hand in homework?","WV","hand in ",156,"west virginia"
"150","Do you pass in homework or hand in homework?","WY","hand in ",73,"wyoming"
"151","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","AK","frosting ",38,"alaska"
"152","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","AL","icing ",138,"alabama"
"153","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","AR","icing ",73,"arkansas"
"154","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","AZ","frosting ",125,"arizona"
"155","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","CA","frosting ",1338,"california"
"156","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","CO","frosting ",204,"colorado"
"157","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","CT","frosting ",480,"connecticut"
"158","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","DE","both /icing ",33,"delaware"
"159","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","FL","both ",439,"florida"
"160","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","GA","both ",221,"georgia"
"161","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","HI","frosting ",39,"hawaii"
"162","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","IA","frosting ",538,"iowa"
"163","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","ID","frosting ",108,"idaho"
"164","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","IL","frosting ",1084,"illinois"
"165","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","IN","both ",415,"indiana"
"166","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","KS","frosting ",468,"kansas"
"167","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","KY","icing ",196,"kentucky"
"168","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","LA","icing ",210,"louisiana"
"169","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MA","frosting ",814,"massachusetts"
"170","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MD","both ",265,"maryland"
"171","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","ME","frosting ",87,"maine"
"172","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MI","frosting ",950,"michigan"
"173","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MN","frosting ",644,"minnesota"
"174","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MO","both ",647,"missouri"
"175","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MS","both ",76,"mississippi"
"176","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","MT","frosting ",220,"montana"
"177","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NC","both ",246,"north carolina"
"178","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","ND","frosting ",117,"north dakota"
"179","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NE","frosting ",132,"nebraska"
"180","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NH","frosting ",107,"new hampshire"
"181","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NJ","both ",531,"new jersey"
"182","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NM","frosting ",61,"new mexico"
"183","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NV","icing is thinner than frosting, white, and/or made of powdered sugar and milk or lemon juice ",37,"nevada"
"184","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","NY","frosting ",1096,"new york"
"185","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","OH","both ",593,"ohio"
"186","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","OK","both ",128,"oklahoma"
"187","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","OR","frosting ",239,"oregon"
"188","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","PA","icing ",1099,"pennsylvania"
"189","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","RI","frosting ",96,"rhode island"
"190","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","SC","icing ",106,"south carolina"
"191","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","SD","frosting ",176,"south dakota"
"192","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","TN","icing ",211,"tennessee"
"193","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","TX","both ",978,"texas"
"194","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","UT","frosting ",132,"utah"
"195","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","VA","both ",397,"virginia"
"196","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","VT","frosting ",71,"vermont"
"197","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","WA","frosting ",878,"washington"
"198","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","WI","frosting ",810,"wisconsin"
"199","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","WV","icing ",86,"west virginia"
"200","Do you say 'frosting' or 'icing' for the sweet spread one puts on a cake?","WY","frosting ",43,"wyoming"
"201","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","AK","oil and vinegar ",68,"alaska"
"202","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","AL","oil and vinegar ",309,"alabama"
"203","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","AR","oil and vinegar ",146,"arkansas"
"204","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","AZ","oil and vinegar ",270,"arizona"
"205","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","CA","oil and vinegar ",2915,"california"
"206","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","CO","oil and vinegar ",427,"colorado"
"207","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","CT","oil and vinegar ",913,"connecticut"
"208","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","DE","oil and vinegar ",83,"delaware"
"209","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","FL","oil and vinegar ",989,"florida"
"210","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","GA","oil and vinegar ",549,"georgia"
"211","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","HI","oil and vinegar ",84,"hawaii"
"212","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","IA","oil and vinegar ",606,"iowa"
"213","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","ID","oil and vinegar ",166,"idaho"
"214","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","IL","oil and vinegar ",1776,"illinois"
"215","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","IN","oil and vinegar ",820,"indiana"
"216","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","KS","oil and vinegar ",751,"kansas"
"217","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","KY","oil and vinegar ",385,"kentucky"
"218","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","LA","oil and vinegar ",382,"louisiana"
"219","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MA","oil and vinegar ",1432,"massachusetts"
"220","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MD","oil and vinegar ",629,"maryland"
"221","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","ME","oil and vinegar ",158,"maine"
"222","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MI","oil and vinegar ",1239,"michigan"
"223","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MN","oil and vinegar ",897,"minnesota"
"224","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MO","oil and vinegar ",993,"missouri"
"225","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MS","oil and vinegar ",172,"mississippi"
"226","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","MT","oil and vinegar ",241,"montana"
"227","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NC","oil and vinegar ",551,"north carolina"
"228","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","ND","oil and vinegar ",140,"north dakota"
"229","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NE","oil and vinegar ",202,"nebraska"
"230","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NH","oil and vinegar ",200,"new hampshire"
"231","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NJ","oil and vinegar ",1346,"new jersey"
"232","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NM","oil and vinegar ",128,"new mexico"
"233","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NV","oil and vinegar ",81,"nevada"
"234","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","NY","oil and vinegar ",3039,"new york"
"235","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","OH","oil and vinegar ",1285,"ohio"
"236","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","OK","oil and vinegar ",257,"oklahoma"
"237","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","OR","oil and vinegar ",440,"oregon"
"238","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","PA","oil and vinegar ",2039,"pennsylvania"
"239","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","RI","oil and vinegar ",166,"rhode island"
"240","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","SC","oil and vinegar ",247,"south carolina"
"241","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","SD","oil and vinegar ",175,"south dakota"
"242","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","TN","oil and vinegar ",469,"tennessee"
"243","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","TX","oil and vinegar ",1800,"texas"
"244","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","UT","oil and vinegar ",221,"utah"
"245","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","VA","oil and vinegar ",1013,"virginia"
"246","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","VT","oil and vinegar ",125,"vermont"
"247","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","WA","oil and vinegar ",1456,"washington"
"248","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","WI","oil and vinegar ",829,"wisconsin"
"249","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","WV","oil and vinegar ",160,"west virginia"
"250","Do you say 'vinegar and oil' or 'oil and vinegar' for the type of salad dressing?","WY","oil and vinegar ",56,"wyoming"
"251","Do you use the term 'bear claw' for a kind of pastry?","AK","yes ",66,"alaska"
"252","Do you use the term 'bear claw' for a kind of pastry?","AL","yes ",217,"alabama"
"253","Do you use the term 'bear claw' for a kind of pastry?","AR","yes ",145,"arkansas"
"254","Do you use the term 'bear claw' for a kind of pastry?","AZ","yes ",240,"arizona"
"255","Do you use the term 'bear claw' for a kind of pastry?","CA","yes ",2749,"california"
"256","Do you use the term 'bear claw' for a kind of pastry?","CO","yes ",417,"colorado"
"257","Do you use the term 'bear claw' for a kind of pastry?","CT","yes ",445,"connecticut"
"258","Do you use the term 'bear claw' for a kind of pastry?","DE","no, but I know what it means ",47,"delaware"
"259","Do you use the term 'bear claw' for a kind of pastry?","FL","yes ",634,"florida"
"260","Do you use the term 'bear claw' for a kind of pastry?","GA","yes ",385,"georgia"
"261","Do you use the term 'bear claw' for a kind of pastry?","HI","yes ",65,"hawaii"
"262","Do you use the term 'bear claw' for a kind of pastry?","IA","yes ",637,"iowa"
"263","Do you use the term 'bear claw' for a kind of pastry?","ID","yes ",167,"idaho"
"264","Do you use the term 'bear claw' for a kind of pastry?","IL","yes ",1508,"illinois"
"265","Do you use the term 'bear claw' for a kind of pastry?","IN","yes ",821,"indiana"
"266","Do you use the term 'bear claw' for a kind of pastry?","KS","yes ",978,"kansas"
"267","Do you use the term 'bear claw' for a kind of pastry?","KY","yes ",298,"kentucky"
"268","Do you use the term 'bear claw' for a kind of pastry?","LA","yes ",294,"louisiana"
"269","Do you use the term 'bear claw' for a kind of pastry?","MA","no, but I know what it means ",687,"massachusetts"
"270","Do you use the term 'bear claw' for a kind of pastry?","MD","yes ",336,"maryland"
"271","Do you use the term 'bear claw' for a kind of pastry?","ME","no, but I know what it means ",94,"maine"
"272","Do you use the term 'bear claw' for a kind of pastry?","MI","yes ",1082,"michigan"
"273","Do you use the term 'bear claw' for a kind of pastry?","MN","yes ",768,"minnesota"
"274","Do you use the term 'bear claw' for a kind of pastry?","MO","yes ",1349,"missouri"
"275","Do you use the term 'bear claw' for a kind of pastry?","MS","yes ",137,"mississippi"
"276","Do you use the term 'bear claw' for a kind of pastry?","MT","yes ",276,"montana"
"277","Do you use the term 'bear claw' for a kind of pastry?","NC","yes ",373,"north carolina"
"278","Do you use the term 'bear claw' for a kind of pastry?","ND","yes ",121,"north dakota"
"279","Do you use the term 'bear claw' for a kind of pastry?","NE","yes ",223,"nebraska"
"280","Do you use the term 'bear claw' for a kind of pastry?","NH","no, but I know what it means ",114,"new hampshire"
"281","Do you use the term 'bear claw' for a kind of pastry?","NJ","yes ",655,"new jersey"
"282","Do you use the term 'bear claw' for a kind of pastry?","NM","yes ",131,"new mexico"
"283","Do you use the term 'bear claw' for a kind of pastry?","NV","yes ",71,"nevada"
"284","Do you use the term 'bear claw' for a kind of pastry?","NY","yes ",1484,"new york"
"285","Do you use the term 'bear claw' for a kind of pastry?","OH","yes ",1001,"ohio"
"286","Do you use the term 'bear claw' for a kind of pastry?","OK","yes ",286,"oklahoma"
"287","Do you use the term 'bear claw' for a kind of pastry?","OR","yes ",405,"oregon"
"288","Do you use the term 'bear claw' for a kind of pastry?","PA","yes ",1393,"pennsylvania"
"289","Do you use the term 'bear claw' for a kind of pastry?","RI","yes ",81,"rhode island"
"290","Do you use the term 'bear claw' for a kind of pastry?","SC","yes ",154,"south carolina"
"291","Do you use the term 'bear claw' for a kind of pastry?","SD","yes ",216,"south dakota"
"292","Do you use the term 'bear claw' for a kind of pastry?","TN","yes ",377,"tennessee"
"293","Do you use the term 'bear claw' for a kind of pastry?","TX","yes ",1557,"texas"
"294","Do you use the term 'bear claw' for a kind of pastry?","UT","yes ",210,"utah"
"295","Do you use the term 'bear claw' for a kind of pastry?","VA","yes ",603,"virginia"
"296","Do you use the term 'bear claw' for a kind of pastry?","VT","no, but I know what it means ",66,"vermont"
"297","Do you use the term 'bear claw' for a kind of pastry?","WA","yes ",1393,"washington"
"298","Do you use the term 'bear claw' for a kind of pastry?","WI","yes ",870,"wisconsin"
"299","Do you use the term 'bear claw' for a kind of pastry?","WV","yes ",119,"west virginia"
"300","Do you use the term 'bear claw' for a kind of pastry?","WY","yes ",76,"wyoming"
"301","Do you use the word cruller?","AK","no, but I know what it means ",40,"alaska"
"302","Do you use the word cruller?","AL","no, but I know what it means ",180,"alabama"
"303","Do you use the word cruller?","AR","no, but I know what it means ",110,"arkansas"
"304","Do you use the word cruller?","AZ","no, but I know what it means ",150,"arizona"
"305","Do you use the word cruller?","CA","no, but I know what it means ",1631,"california"
"306","Do you use the word cruller?","CO","no, but I know what it means ",249,"colorado"
"307","Do you use the word cruller?","CT","yes ",625,"connecticut"
"308","Do you use the word cruller?","DE","yes ",41,"delaware"
"309","Do you use the word cruller?","FL","no, but I know what it means ",533,"florida"
"310","Do you use the word cruller?","GA","no, but I know what it means ",296,"georgia"
"311","Do you use the word cruller?","HI","I have no idea what this means ",47,"hawaii"
"312","Do you use the word cruller?","IA","I have no idea what this means ",452,"iowa"
"313","Do you use the word cruller?","ID","no, but I know what it means ",97,"idaho"
"314","Do you use the word cruller?","IL","no, but I know what it means ",1100,"illinois"
"315","Do you use the word cruller?","IN","no, but I know what it means ",560,"indiana"
"316","Do you use the word cruller?","KS","I have no idea what this means ",624,"kansas"
"317","Do you use the word cruller?","KY","no, but I know what it means ",232,"kentucky"
"318","Do you use the word cruller?","LA","no, but I know what it means ",238,"louisiana"
"319","Do you use the word cruller?","MA","yes ",975,"massachusetts"
"320","Do you use the word cruller?","MD","no, but I know what it means ",348,"maryland"
"321","Do you use the word cruller?","ME","yes ",97,"maine"
"322","Do you use the word cruller?","MI","no, but I know what it means ",832,"michigan"
